co2_saved,energy_efficiency
171.82,516.39
42.34,423.14138414532727
192.5,239.44
295.72,104.45
179.73,445.65
307.62,71.27
213.62,179.28565114447494
397.39,170.35
100.22,229.17
29.57,243.49642328711576
408.0429408452949,75.68
345.51,120.94
536.79,204.08
509.7284474272192,173.2803906586385
128.09,525.93
127.84,383.65
439.49,144.95
659.04,285.7282169606996
251.13,277.2214618187686
112.18,290.512461444948
208.69,280.37
488.0642836126517,223.84
496.7675984665443,67.58631342360343
72.94,217.17132038688072
370.5717722542838,246.61
338.11,133.33
40.39,263.64
877.35,81.55
364.01,249.22
703.57,38.6876488328694
537.96,254.24
500.2,173.18
427.41,37.98472073689064
457.74,164.18
77.82,150.26
939.24,115.55
220.9,220.78
94.8,220.48825802869305
369.8333789245537,260.61
82.91,283.69
456.0,189.47
285.99,272.7555224693257
583.89,145.16
418.86,254.8741405249237
268.24,139.28
316.03,114.63
326.61,240.68043344458735
46.72,144.87
280.16,185.88
359.24,155.8
453.42,109.59
321.35,324.87
831.84,118.42
171.27,140.68
351.83,206.03
203.84,54.95
415.7431219595262,145.45
55.14,122.8750222648734
471.4239592721076,167.68
579.04,123.79
758.34,187.62
539.51,90.72
117.58,93.48
182.7708629690619,294.74
706.91,127.43
198.19379694450708,179.05
145.51,401.79
105.29,186.54
776.79,140.95
532.62850755824,69.9
284.39,342.25
775.25,160.79
316.3318649922238,351.15
13.95,96.45
324.68,185.57
58.92,293.71
408.39,207.7958707462226
726.3,36.27
272.59,320.44
387.37,251.9310914478448
425.67,80.94
28.19,365.46
235.7,81.16
219.88976691657783,179.35
874.2027518255784,148.01
406.18,186.13
208.22,171.3
298.41,209.2
188.68858995220452,234.16
341.64,195.12
540.0002700804334,171.72
295.46,91.5383753120233
96.72,470.3
321.91,118.34
614.57,101.15
382.64,298.7893134955085
612.0,229.11
503.62,259.60897046332434
602.06,228.02
465.5765846557258,211.2304984190636
573.41,147.65
7.6,435.9811134361584
534.04,77.38
352.09,114.85
492.98,96.72
305.12,95.52
185.29,119.32
390.66,155.32
575.71,110.02
53.98,394.96
656.08,120.27
394.67,117.45
159.77,379.15
57.64,157.26
185.83,245.9651676216094
788.53,37.87
612.79,157.41
