region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011.0,percent,0.000390000001062,36211.0,122.0,6.77,3521.0,171.82,82.71450796283679,516.39,1746.6054797291133,4.459950867210213,204.0,50175.45230209555
Australia,Historical,EV sales share,Cars,EV,2011.0,percent,0.00650000013411,64874.0,145.0,4.18,730.0,42.34,74.0,423.14138414532727,1802.0,7.0,224.0,62975.0
Australia,Historical,EV sales,Cars,BEV,2011.0,Vehicles,49.0,58493.0,142.0,4.76,3389.0,192.5,34.0,239.44,1369.0,6.0,284.0,77778.0
Australia,Historical,EV stock,Cars,BEV,2011.0,Vehicles,49.0,55080.41773210107,517.0,10.69,1430.0,295.72,54.0,104.45,1392.0,4.0,284.0,55552.0
Australia,Historical,EV stock,Cars,BEV,2012.0,Vehicles,220.0,70920.0,184.0,11.57,2442.0,179.73,82.0,445.65,1395.0,7.0,294.0,5905.0
Australia,Historical,EV sales,Cars,BEV,2012.0,Vehicles,170.0,35735.0,599.0,8.46,4447.0,1065.5,73.0,121.87,1666.0,5.0,166.0,50175.44706273807
Australia,Historical,EV stock share,Cars,EV,2012.0,percent,0.002400000113994,78123.0,463.0,10.33,1492.6236214490968,307.62,33.0,71.27,1244.0,3.0,84.0,67732.0
Australia,Historical,EV stock,Cars,PHEV,2012.0,Vehicles,80.0,34869.0,515.0,9.2,591.4642910015714,213.62,84.0,179.28565114447494,1250.0,7.0,241.0,30761.0
Australia,Historical,EV sales,Cars,PHEV,2012.0,Vehicles,80.0,48828.0,317.0,5.78,3134.0,397.39,54.0,170.35,1009.0,5.0,156.0,94784.0
Australia,Historical,EV sales,Cars,PHEV,2013.0,Vehicles,100.0,31887.0,288.0,6.535750831302734,870.0,100.22,66.0,229.17,1075.0,5.0,169.0,92882.0
Australia,Historical,EV stock,Cars,PHEV,2013.0,Vehicles,180.0,48837.0,224.0,5.66,330.0,29.57,42.0,243.49642328711576,2294.0,3.0,165.0,66440.0
Australia,Historical,EV stock share,Cars,EV,2013.0,percent,0.004600000102073,37193.0,370.0,6.490851912142244,2814.0,408.0429408452949,28.0,75.68,1374.0,3.0,82.0,93075.0
Australia,Historical,EV sales share,Cars,EV,2013.0,percent,0.034000001847744,77564.0,339.0,5.98,2548.0,345.51,41.0,120.94,2288.0,6.0,285.0,38683.0
Australia,Historical,EV sales,Cars,BEV,2013.0,Vehicles,190.0,57706.0,441.0,5.44,3043.0,536.79,90.0,204.08,1522.0,2.0,133.0,50175.15522034588
Australia,Historical,EV stock,Cars,BEV,2013.0,Vehicles,410.0,54785.0,454.0,2.9,2864.0,509.7284474272192,70.04278628048465,173.2803906586385,1748.4518486933246,5.0,122.0,39476.0
Australia,Historical,EV stock,Cars,BEV,2014.0,Vehicles,780.0,70891.0,135.0,1.58,2372.0,128.09,71.0,525.93,1262.0,7.0,185.6254912268737,30289.0
Australia,Historical,EV sales,Cars,BEV,2014.0,Vehicles,370.0,64191.0,159.0,10.1,2347.2097504791527,127.84,61.0,383.65,2221.0,4.0,112.0,22130.0
Australia,Historical,EV stock,Cars,PHEV,2014.0,Vehicles,1100.0,50913.0,545.0,11.77,2016.0,439.49,79.0,144.95,1629.0,4.513003886177805,278.0,32812.0
Australia,Historical,EV sales,Cars,PHEV,2014.0,Vehicles,950.0,55079.429856839626,425.7385602476432,5.65,4694.0,659.04,93.0,285.7282169606996,1175.0,6.0,171.0,78075.0
Australia,Historical,EV sales,Cars,PHEV,2015.0,Vehicles,1000.0,41715.0,193.0,4.47,3253.0,251.13,45.131083427931934,277.2214618187686,1884.0,2.0,187.69547550976944,16217.0
Australia,Historical,EV stock,Cars,PHEV,2015.0,Vehicles,2100.0,37360.0,311.5213513249008,6.5168189615434,1989.0,112.18,72.0,290.512461444948,2192.0,2.0,93.0,99033.0
Australia,Historical,EV stock share,Cars,EV,2015.0,percent,0.027000000700355,48253.0,107.0,5.37,4876.0,208.69,30.0,280.37,1567.0,5.0,159.0,51813.0
Australia,Historical,EV sales share,Cars,EV,2015.0,percent,0.200000002980232,44440.0,344.0,11.92,3618.0,488.0642836126517,77.0,223.84,1517.0,6.0,269.0,50175.33691712512
Australia,Historical,EV sales,Cars,BEV,2015.0,Vehicles,760.0,57685.0,491.0,8.16,2542.7960522585777,496.7675984665443,49.0,67.58631342360343,1140.0,3.0,230.0,25518.0
Australia,Historical,EV stock,Cars,BEV,2015.0,Vehicles,1500.0,55078.56697847293,348.0,8.72,524.0,72.94,59.35291075472619,217.17132038688072,1372.0,3.0,185.0,92281.0
Australia,Historical,EV stock,Cars,BEV,2016.0,Vehicles,2200.0,44777.0,369.0,11.21,2530.3713787615743,370.5717722542838,91.0,246.61,1960.0,4.499091157032345,134.0,92966.0
Australia,Historical,EV sales,Cars,BEV,2016.0,Vehicles,670.0,55082.94429518451,240.0,6.462762004888704,3522.0,338.11,32.0,133.33,1869.0,5.0,186.78260475284893,6276.0
