,region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
0,Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,36211,122,6.77,3521,171.82,82.71450796283679,516.39,1746.6054797291133,4.459950867210213,204,50175.45230209555
1,Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,64874,145,4.18,730,42.34,74,423.14138414532727,1802,7,224,62975
2,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49,58493,142,4.76,3389,192.5,34,239.44,1369,6,284,77778
3,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49,55080.41773210107,517,10.69,1430,295.72,54,104.45,1392,4,284,55552
4,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220,70920,184,11.57,2442,179.73,82,445.65,1395,7,294,5905
5,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170,35735,599,8.46,4447,1065.5,73,121.87,1666,5,166,50175.44706273807
6,Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,47081,156,4.99,3101,193.5,88,564.1,1171,4,187.30055112811627,27162
7,Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,78123,463,10.33,1492.6236214490968,307.62,33,71.27,1244,3,84,67732
8,Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80,34869,515,9.2,591.4642910015714,213.62,84,179.28565114447494,1250,7,241,30761
9,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80,48828,317,5.78,3134,397.39,54,170.35,1009,5,156,94784
10,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100,31887,288,6.535750831302734,870,100.22,66,229.17,1075,5,169,92882
11,Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180,48837,224,5.66,330,29.57,42,243.49642328711576,2294,3,165,66440
12,Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,37193,370,6.490851912142244,2814,408.0429408452949,28,75.68,1374,3,82,93075
13,Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,77564,339,5.98,2548,345.51,41,120.94,2288,6,285,38683
14,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190,57706,441,5.44,3043,536.79,90,204.08,1522,2,133,50175.15522034588
15,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410,54785,454,2.9,2864,509.7284474272192,70.04278628048465,173.2803906586385,1748.4518486933246,5,122,39476
16,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780,70891,135,1.58,2372,128.09,71,525.93,1262,7,185.62549122687372,30289
17,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370,64191,159,10.1,2347.2097504791527,127.84,61,383.65,2221,4,112,22130
18,Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,55080.08241742743,169,5.33,4450,300.82,96.24597133628384,573.96,1749.1819658490347,3,233,64675
19,Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,45361,122,5.24,3831,186.95,83,680.33,2490,3,262,85495
